Linux 3.10.0-1160.el7.x86_64 (test-deid) 	西元2023年06月06日 	_x86_64_	(8 CPU)

11時15分47秒     CPU     %user     %nice   %system   %iowait    %steal     %idle
15時18分47秒     all      0.91      0.00      0.73      0.00      0.00     98.37
15時19分47秒     all      0.99      0.00      0.73      0.00      0.00     98.28
15時20分47秒     all      0.94      0.00      0.80      0.00      0.00     98.26
15時21分47秒     all      0.98      0.00      0.70      0.00      0.00     98.32
15時22分47秒     all      0.94      0.00      0.87      0.00      0.00     98.19
15時23分47秒     all      0.93      0.00      0.70      0.00      0.00     98.36
15時24分47秒     all      0.85      0.00      0.69      0.00      0.00     98.46
15時25分47秒     all      0.93      0.00      0.70      0.00      0.00     98.37
15時26分47秒     all      0.89      0.00      0.72      0.00      0.00     98.39
15時27分47秒     all      0.91      0.00      0.71      0.00      0.00     98.37
15時28分47秒     all      0.93      0.00      0.75      0.00      0.00     98.32
15時29分47秒     all      0.96      0.00      0.74      0.00      0.00     98.30
15時30分47秒     all      0.97      0.00      0.80      0.00      0.00     98.23
15時31分47秒     all      0.95      0.00      0.73      0.06      0.00     98.27
15時32分47秒     all      0.98      0.00      0.88      0.00      0.00     98.13
15時33分47秒     all      0.97      0.00      0.75      0.00      0.00     98.28
15時34分47秒     all      0.92      0.00      0.73      0.00      0.00     98.36
15時35分47秒     all      1.07      0.00      0.74      0.02      0.00     98.17
15時36分47秒     all      1.00      0.00      0.78      0.00      0.00     98.22
15時37分47秒     all      1.04      0.00      0.75      0.00      0.00     98.20
15時38分47秒     all      1.04      0.00      0.80      0.00      0.00     98.16
15時39分47秒     all      1.07      0.00      0.80      0.00      0.00     98.13
15時40分47秒     all      1.20      0.00      0.95      0.08      0.00     97.77
15時41分47秒     all      5.80      0.00      2.55      3.04      0.00     88.61
15時42分47秒     all     17.04      0.00      6.09      2.25      0.00     74.62
15時43分47秒     all      1.07      0.00      0.79      0.10      0.00     98.04
15時44分47秒     all      1.01      0.00      0.77      0.06      0.00     98.17
15時45分47秒     all      0.97      0.00      0.75      0.00      0.00     98.29
15時46分47秒     all      0.93      0.00      0.73      0.00      0.00     98.33
15時47分47秒     all      0.92      0.00      0.69      0.05      0.00     98.33
15時48分47秒     all      0.94      0.00      0.72      0.02      0.00     98.32
15時49分47秒     all      1.00      0.00      0.77      0.00      0.00     98.22
15時50分47秒     all      1.01      0.00      0.83      0.00      0.00     98.16
15時51分47秒     all      1.09      0.00      0.79      0.00      0.00     98.11
15時52分47秒     all      1.01      0.00      0.91      0.00      0.00     98.08
15時53分47秒     all      0.98      0.00      0.71      0.01      0.00     98.30
15時54分47秒     all      0.87      0.00      0.69      0.00      0.00     98.44
15時55分47秒     all      0.90      0.00      0.70      0.00      0.00     98.40
15時56分47秒     all      0.88      0.00      0.67      0.00      0.00     98.45
15時57分47秒     all      0.91      0.00      0.69      0.00      0.00     98.40
15時58分47秒     all      0.93      0.00      0.76      0.00      0.00     98.31
15時59分47秒     all      0.94      0.00      0.70      0.00      0.00     98.36
16時00分47秒     all      0.89      0.00      0.77      0.00      0.00     98.34
16時01分47秒     all      0.98      0.00      0.74      0.00      0.00     98.27
16時02分47秒     all      0.92      0.00      0.81      0.00      0.00     98.26
16時03分47秒     all      0.95      0.00      0.72      0.00      0.00     98.33
16時04分47秒     all      0.85      0.00      0.67      0.00      0.00     98.48
16時05分47秒     all      0.92      0.00      0.73      0.00      0.00     98.35
16時06分47秒     all      0.95      0.00      0.70      0.00      0.00     98.35
16時07分47秒     all      1.09      0.00      0.73      0.00      0.00     98.18
16時08分47秒     all      0.95      0.00      0.73      0.00      0.00     98.32
16時09分47秒     all      0.93      0.00      0.70      0.01      0.00     98.36
16時10分47秒     all      0.90      0.00      0.74      0.00      0.00     98.36
16時11分47秒     all      1.02      0.00      0.74      0.00      0.00     98.24
16時12分47秒     all      1.03      0.00      0.86      0.00      0.00     98.11
16時13分47秒     all      0.88      0.00      0.68      0.01      0.00     98.43
16時14分47秒     all      0.89      0.00      0.71      0.00      0.00     98.39
16時15分47秒     all      0.96      0.00      0.74      0.00      0.00     98.30
16時16分47秒     all      0.88      0.00      0.66      0.00      0.00     98.46
16時17分47秒     all      0.89      0.00      0.69      0.00      0.00     98.42
16時18分47秒     all      0.86      0.00      0.71      0.00      0.00     98.43
16時19分47秒     all      0.91      0.00      0.68      0.00      0.00     98.40
16時20分47秒     all      0.90      0.00      0.72      0.00      0.00     98.37
16時21分47秒     all      0.94      0.00      0.69      0.02      0.00     98.35
16時22分47秒     all      1.24      0.00      1.13      0.04      0.00     97.59
16時23分47秒     all      1.11      0.00      0.79      0.01      0.00     98.09
16時24分47秒     all      1.00      0.00      0.77      0.00      0.00     98.23
16時25分47秒     all      1.01      0.00      0.77      0.02      0.00     98.20
16時26分47秒     all      1.01      0.00      0.79      0.01      0.00     98.19
16時27分47秒     all      1.08      0.00      0.83      0.04      0.00     98.05
16時28分47秒     all      1.02      0.00      0.79      0.01      0.00     98.19
16時29分47秒     all      1.10      0.00      0.80      0.06      0.00     98.03
16時30分47秒     all      1.53      0.00      1.10      0.17      0.00     97.20
16時31分47秒     all      1.12      0.00      0.81      0.06      0.00     98.01
16時32分47秒     all      1.13      0.00      0.96      0.00      0.00     97.91
16時33分47秒     all      1.01      0.00      0.75      0.00      0.00     98.23
16時34分47秒     all      0.96      0.00      0.74      0.00      0.00     98.31
16時35分47秒     all      0.94      0.00      0.68      0.01      0.00     98.37
16時36分47秒     all      0.89      0.00      0.70      0.00      0.00     98.41
16時37分47秒     all      0.90      0.00      0.69      0.00      0.00     98.40
16時38分47秒     all      0.90      0.00      0.71      0.00      0.00     98.39
